Model,Mean Squared Error,R-squared,Average Error,Median Error
DecisionTreeRegressor,0.5270815796537057,0.4729184203462943,0.7260038427265422,0.41713683782589883
XGBoost,0.5473558806874318,0.4526441193125682,0.7398350361313202,0.4804408868997477
LightGBM,0.4881989490123983,0.5118010509876016,0.6987123506940451,0.45564503249582766
CatBoost,0.46382025776650254,0.5361797422334975,0.6810435065151877,0.4396185079727759
LinearRegression,0.8121723147581014,0.18782768524189863,0.9012060334674316,0.6089889578105007
AdaBoostRegressor,0.8840357235528526,0.11596427644714735,0.9402317392817862,0.646043950688804
RandomForestRegressor,0.5064642491668709,0.49353575083312906,0.7116630165793857,0.42695485694484253
GradientBoostingRegressor,0.54732162123072,0.45267837876927997,0.739811882325987,0.4804386684051559
KNeighborsRegressor,0.528640044486422,0.471359955513578,0.7270763677127885,0.4627708919974436
